VIOL GLASS CONTAINER,13
TOBACCO VIOL - AGE 17,12
VIOL CITY ORDINANCE -  GAME RM,12
OUT OF CITY THEFT,11
VIOL CITY ORDINANCE - CURFEW,11
IMMIGRATION/NAT. ACT,11
ILLEGAL LABELLING OF RECORDING,11
INJURED ANIMAL,10
FOUND ADULT,10
VIOL OCCUPATIONAL DRIV LICENSE,10
SUSPICIOUS NOISE,10
FORGERY- CERTIFICATE OF TITLE,10
AGG ASSAULT ON PUBLIC SERVANT,10
THEFT OF TELECOMMUNICATION SRV,10
DEL CONTROLLED SUB/SYN NARC,9
VIOL CITY ORDINANCE - SOUND,9
RACING ON HIGHWAY,9
FIELD OBSERVATION,9
OUT OF CITY MISSING PERSON,9
THEFT- APPROPRIATE STOLEN PROP,8
SMUGGLING ILLEGAL ALIEN,8
FRAUD DESTRUCTION OF A WRITING,8
PURSE SNATCHING,8
MANF CONTROLLED SUB - OTHER,8
PICK UP ITEM/EVIDENCE,8
ACCIDENTAL SHOOTING INJURY,8
DWI - DRUG RECOGNITION EXPERT,8
DOC ABUSE OR THREAT,8
HINDERING APPREHENSION,8
UCW LICENSE PREMISE,8
ILLUMIN AIRCRAFT INTENSE LIGHT,8
INHALANT ABUSE,7
LEVEL 3 RESPONSE TO RESISTANCE,7
AGG SEXUAL ASSAULT,7
THEFT BY FALSE PRETEXT/BUNCO,7
VIOL TEMP EX PARTE  ORDER,7
UNLAWFUL RESTRAINT FAM/DAT VIO,7
ACCIDENTAL SHOOTING NON-INJURY,7
INJURED ANIMAL-FIREARM USED,7
OUT OF CITY AGG ASSAULT,6
OBSTRUCTION HIGHWAY/PASSAGEWA,6
SID,6
DOC WINDOW PEEPING - PUB AREA,6
VIOL CITY ORDINANCE -FIREWORK,6
OUT OF CITY MURDER,6
DANGEROUS ANIMAL-FIREARM USED,6
DISPOSAL OF SOLID WASTE,6
PROMOTION OF PROSTITUTION,6
GAMBLING PROMOTION,6
TELECOMMUNICATION CRIMES/OTHER,5
DEL OF ALCOHOL TO MINOR,5
RECKLESS CONDUCT,5
TAMPERING WITH CONSUMER PROD,5
UNREGISTERED MOTOR VEH,5
AIRPORT - SUSPICIOUS PKG/ITEM,5
ANIMAL BITE - FIREARM USED,5
DANG DRUG VIOL - OTHER,5
CYBER CRIMES,5
TAKE WEAPON FRM POLICE OFFICER,5
UNL CARRY HANDGUN-LICENSE HOLD,5
DISTRICT REPRESENTATIVE,5
CRED CARD ABUSE - EXPIR-CANCEL,5
THEFT/TILL TAPPING,5
DOC DISCHARGE GUN - PUB ROAD,5
METRO TAC REG 2,4
POSS CRIMINAL INSTRUMENT,4
BOAT CRASH/ACCIDENT,4
AGG KIDNAPPING,4
MURDER,4
CONT VIOL AGAINST FAMILY,4
CRIMINAL NONSUPPORT,4
HIGH TECH CRIME,4
ACCIDENTAL DROWNING DEATH,4
OBTAIN DANG DRUG BY FRAUD,4
OUT OF CITY ROBBERY,4
TRANSPORT PRISONER,4
VIOL OF BOND CONDITIONS,3
AIRPLANE EMERGENCY,3
BANK KITING,3
AGG FORCED SODOMY,3
THEFT BY EXTORTION,3
MISAPPLY FIDUCIARY PROP,3
VIOL CITY ORDINANCE - TITLE 10,3
SPEC ASSIGN/OTHER,3
UNLAWFUL INTERCEPTION,3
NON HAZARDOUS TRAFFIC VIOL,3
COMPELLING PROSTITUTION,2
CRASH/MANSLAUGHTER,2
DEADLY CONDUCT FAM/DATE VIOL,2
ISSUANCE OF BAD CHECK,2
FRAUD FILING FINANCE STATEMENT,2
IN-SERVICE TRAINING/APD,2
MANF CONTROLLED SUB- SYN NARC,2
LOOSE LIVESTOCK,2
OUT OF CITY BURGLARY,2
BAIL JUMPING/FAIL TO APPEAR,2
MANSLAUGHTER,2
IMPROPER CONTACT-SEX ASLT VICT,2
AGG SODOMY,2
SURVEILLANCE ASSIGN,2
SECURING EXEC-DOC BY DECEPTION,2
NO DRIVERS LICENSE 3RD OFFENSE,2
HAZARDOUS TRAFFIC VIOL,2
HAZARDOUS TRAFFIC CITATION,2
ABANDONED BICYCLES/PARTS,2
HIGH SPEED ROADWAY STALL,2
VIOL CITY ORDINANCE - SMOKING,2
COMMUNITY POLICE,2
THEFT OF HEAVY EQUIPMENT INFO,2
DOC WINDOW PEEPING - HOTEL,2
HAZING,2
DISRUPTING MEETING/PROCESSION,2
MONEY LAUNDERING,1
POSS OF GAMBLING PARAPHERNALIA,1
DELIVER MESSAGE,1
VIOL CIVIL RIGHTS PRISONER,1
VEH MOVED NOT IMPOUNDED,1
DEST OF IMPOUNDED PROP-EVIDEN,1
ACCIDENTAL SHOOTING DEATH,1
VIOL WATER SAFETY ACT,1
SOLICITATION - BEGGING,1
OBSCENITY,1
DELIVERY OF PRESCRIPTION FORM,1
DEL OF DANG DRUG,1
AWOL,1
ENGAGING IN ORGANIZED CRIME,1
CONTROLLED SUB VIOL - OTHER,1
VIOL STAY AWAY ORDER,1
POSSESSION OF FORGED WRITING,1
EVADING ARREST,1
FICTITIOUS INSURANCE DOCUMENT,1
ATTACK ON ASSISTANCE ANIMAL,1
LEVEL 2 RESPONSE TO RESISTANCE,1
DESERTION,1
FAIL DISPLAY HANDGUN LICENSE,1
OFFICER INVOLVED INJURY,1
METRO TAC REG 1,1
AIRPORT - BOMB THREAT,1
POCKET PICKING,1
AIRPORT - SUSPICIOUS PERSON,1
AIRPORT - FOUND MARIJUANA,1
PROHIBITED SEXUAL CONDUCT,1
TAMPERING WITH ID NUMBER,1
ROBBERY ALARM,1
OFFICER INVOLVED INCIDENT,1
VIOL CITY ORDINANCE - AIRPORT,1
CRIME ALERT/THEFT,1
ALTERED DRIVERS LICENSE,1
OPERATING A VESSEL/INTOXICATED,1
BRIBERY,1
DISRUPTIVE ACTS AT SCHOOLS,1
